composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,band_gap
Na2 Gd1 P2 O8,8.0,64.0,56.0,13.846153846153848,8.071005917159765,8.0,2.0,87.0,85.0,68.6923076923077,26.934911242603555,87.0,15.9994,157.25,141.2506,30.24402019692308,19.763917447573967,15.9994,54.8,1586.0,1531.2,261.5953846153846,254.5173964497041,54.8,1.0,16.0,15.0,12.538461538461538,5.017751479289941,16.0,2.0,6.0,4.0,2.6153846153846154,0.7573964497041421,2.0,66.0,196.0,130.0,97.6923076923077,39.005917159763314,66.0,0.93,3.44,2.51,2.689230769230769,0.9240236686390532,3.44,1.0,2.0,1.0,1.8461538461538465,0.2603550295857987,2.0,0.0,4.0,4.0,2.923076923076923,1.3491124260355032,4.0,0.0,1.0,1.0,0.0769230769230769,0.1420118343195266,0.0,0.0,7.0,7.0,0.5384615384615384,0.9940828402366864,0.0,1.0,10.0,9.0,5.384615384615385,1.4674556213017749,6.0,0.0,1.0,1.0,0.1538461538461538,0.2603550295857988,0.0,0.0,3.0,3.0,1.6923076923076923,0.7810650887573964,2.0,0.0,9.0,9.0,0.6923076923076923,1.2781065088757395,0.0,0.0,7.0,7.0,0.5384615384615384,0.9940828402366864,0.0,1.0,16.0,15.0,3.076923076923077,1.9881656804733727,2.0,9.105,32.05,22.945,16.03978021976923,8.535114116639052,9.105,0.0,1.625,1.625,0.25,0.4230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,229.0,227.0,57.84615384615385,73.6094674556213,12.0,4.19
Pb1 Co1 O3,8.0,82.0,74.0,26.6,22.32,8.0,58.0,87.0,29.0,80.0,8.8,87.0,15.9994,207.2,191.2006,62.826279,57.7494884,15.9994,54.8,1768.0,1713.2,506.602,542.1623999999999,54.8,9.0,16.0,7.0,14.2,2.16,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,146.0,80.0,94.0,33.6,66.0,1.88,3.44,1.56,2.906,0.6407999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.8,1.44,4.0,0.0,10.0,10.0,3.4,4.08,0.0,0.0,14.0,14.0,2.8,4.48,0.0,6.0,28.0,22.0,11.0,6.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.8,2.0,0.0,3.0,3.0,0.6,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.6,0.72,2.0,9.105,28.11,19.005,13.134,5.9904,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.30969424,0.495510784,0.0,12.0,225.0,213.0,91.0,94.8,12.0,0.28
Bi2 Te2.97 Se0.03,34.0,83.0,49.0,64.29199999999999,14.966399999999997,52.0,86.0,90.0,4.0,88.39399999999999,1.9152000000000016,90.0,78.96,208.9804,130.0204,159.86031999999997,39.29606399999999,127.6,494.0,722.66,228.66,649.9840399999999,86.33904048,722.66,15.0,16.0,1.0,15.6,0.48,16.0,4.0,6.0,2.0,5.393999999999999,0.4847999999999997,5.0,120.0,148.0,28.0,141.892,4.886399999999998,138.0,2.02,2.55,0.5299999999999998,2.0706999999999995,0.0405600000000001,2.1,2.0,2.0,0.0,2.0,0.0,2.0,3.0,4.0,1.0,3.6,0.4799999999999998,4.0,10.0,10.0,0.0,9.999999999999998,1.7763568394002505e-15,10.0,0.0,14.0,14.0,5.599999999999999,6.719999999999999,0.0,16.0,29.0,13.0,21.2,6.239999999999998,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.4,0.4799999999999998,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.4,0.4799999999999998,2.0,25.92,34.7633333333,8.843333333299995,33.9849399999802,0.9247312799839196,34.7633333333,0.0,0.799,0.799,0.28041,0.224328,0.464,0.0,0.0,0.0,0.0,0.0,0.0,12.0,152.0,140.0,95.172,67.51166399999998,152.0,0.16
K1 Fe1 Cu1 Te2,19.0,52.0,33.0,35.6,13.12,52.0,3.0,90.0,87.0,60.4,25.12,90.0,39.0983,127.6,88.5017,82.73786,35.889712,127.6,336.53,1811.0,1474.47,990.124,475.4088,722.66,1.0,16.0,15.0,10.4,4.720000000000001,16.0,4.0,5.0,1.0,4.4,0.4800000000000001,5.0,132.0,203.0,71.0,148.6,21.76,138.0,0.82,2.1,1.2800000000000002,1.75,0.372,2.1,1.0,2.0,1.0,1.6,0.48,2.0,0.0,4.0,4.0,1.6,1.9200000000000004,4.0,0.0,10.0,10.0,7.2,3.3599999999999994,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,15.0,10.4,4.720000000000001,16.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,2.0,2.0,0.8,0.9600000000000002,2.0,0.0,4.0,4.0,0.8,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,0.8,2.0,10.73,73.1066666667,62.37666666669999,32.88666666666,17.589333333327996,34.7633333333,0.0,0.464,0.464,0.1856,0.2227199999999999,0.464,0.0,2.1106628,2.1106628,0.42213256,0.675412096,0.0,152.0,229.0,77.0,197.4,36.32,152.0,1.06
Cs1 Bi1 S2,16.0,83.0,67.0,42.5,26.5,16.0,5.0,88.0,83.0,66.75,30.875,88.0,32.065,208.9804,176.9154,101.503962975,69.43896297500001,32.065,301.59,544.4,242.81,405.6775,69.36125,388.36,1.0,16.0,15.0,12.0,5.5,16.0,3.0,6.0,3.0,4.5,1.5,3.0,105.0,244.0,139.0,150.5,46.75,105.0,0.79,2.58,1.79,1.9925,0.60125,2.58,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.75,1.375,4.0,0.0,10.0,10.0,2.5,3.75,0.0,0.0,14.0,14.0,3.5,5.25,0.0,1.0,29.0,28.0,10.5,9.25,6.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,3.0,3.0,1.75,0.875,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.5,2.0,25.786875,115.765,89.978125,50.0721875,32.84640625,25.786875,0.0,2.202,2.202,1.101,1.101,2.202,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,95.25,66.875,70.0,1.4
Fe1 I2,26.0,53.0,27.0,44.0,12.0,53.0,55.0,96.0,41.0,82.33333333333333,18.222222222222225,96.0,55.845,126.90447,71.05947,103.21798,31.581986666666666,126.90447,386.85,1811.0,1424.15,861.5666666666666,632.9555555555555,386.85,8.0,17.0,9.0,14.0,4.0,17.0,4.0,5.0,1.0,4.666666666666667,0.4444444444444443,5.0,132.0,139.0,7.0,136.66666666666666,3.1111111111111143,139.0,1.83,2.66,0.8300000000000001,2.3833333333333333,0.368888888888889,2.66,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.333333333333333,2.222222222222222,5.0,6.0,10.0,4.0,8.666666666666666,1.777777777777778,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0,9.0,14.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,1.3333333333333333,1.0,10.73,43.015,32.285,32.25333333333334,14.348888888888888,43.015,0.0,1.062,1.062,0.7080000000000001,0.472,1.062,0.0,2.1106628,2.1106628,0.7035542666666667,0.9380723555555556,0.0,64.0,229.0,165.0,119.0,73.33333333333333,64.0,5.15
Tl1 In1 Se2,34.0,81.0,47.0,49.5,15.75,34.0,75.0,89.0,14.0,82.25,6.75,89.0,78.96,204.3833,125.4233,119.280325,42.55148750000001,78.96,429.75,577.0,147.25,498.6875,39.15625,494.0,13.0,16.0,3.0,14.5,1.5,16.0,4.0,6.0,2.0,4.75,0.75,4.0,120.0,145.0,25.0,131.75,11.75,120.0,1.62,2.55,0.9299999999999996,2.125,0.4249999999999999,2.55,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.5,1.5,4.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,3.5,5.25,0.0,13.0,27.0,14.0,18.0,4.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.5,1.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.5,1.5,2.0,24.26,26.91,2.6499999999999986,25.7525,0.7462499999999999,25.92,0.0,0.799,0.799,0.3995,0.3995,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,194.0,180.0,90.25,76.25,14.0,1.14
K2 P2 Se6,15.0,34.0,19.0,27.2,8.16,34.0,3.0,89.0,86.0,70.6,27.040000000000003,89.0,30.973762,78.96,47.98623799999999,61.3904124,21.083505119999995,78.96,317.3,494.0,176.7,427.166,80.2008,494.0,1.0,16.0,15.0,12.8,4.72,16.0,3.0,4.0,1.0,3.8,0.3200000000000001,4.0,107.0,203.0,96.0,134.0,27.6,120.0,0.82,2.55,1.73,2.132,0.5247999999999998,2.55,1.0,2.0,1.0,1.8,0.3199999999999999,2.0,0.0,4.0,4.0,3.0,1.2,4.0,0.0,10.0,10.0,6.0,4.8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,15.0,10.8,6.24,16.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,3.0,3.0,1.8,0.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.4,2.0,22.5702380952,73.1066666667,50.5364285715,34.68738095238,15.367714285727995,25.92,0.0,1.625,1.625,0.8044,0.32824,0.799,0.0,0.0,0.0,0.0,0.0,0.0,2.0,229.0,227.0,54.6,69.76,14.0,2.08
Cd1 In2 S4,16.0,49.0,33.0,30.0,16.0,16.0,70.0,88.0,18.0,81.71428571428571,7.183673469387756,88.0,32.065,114.818,82.753,67.18671428571429,40.13910204081633,32.065,388.36,594.22,205.86,429.5942857142857,47.12489795918367,388.36,12.0,16.0,4.0,14.571428571428571,1.6326530612244898,16.0,3.0,5.0,2.0,3.857142857142857,0.979591836734694,3.0,105.0,144.0,39.0,121.14285714285714,18.448979591836736,105.0,1.69,2.58,0.8900000000000001,2.224285714285714,0.406530612244898,2.58,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.571428571428572,1.6326530612244898,4.0,0.0,10.0,10.0,4.285714285714286,4.8979591836734695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,7.0,8.857142857142858,3.26530612244898,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.571428571428572,1.3877551020408163,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.571428571428572,1.3877551020408163,2.0,19.495,25.786875,6.291874999999997,24.451785714285712,1.525816326530611,25.786875,0.0,2.202,2.202,1.2582857142857142,1.078530612244898,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,194.0,124.0,107.42857142857144,42.775510204081634,70.0,2.7
Sb2 O3,8.0,51.0,43.0,25.2,20.64,8.0,85.0,87.0,2.0,86.2,0.9599999999999994,87.0,15.9994,121.76,105.7606,58.30364,50.765088000000006,15.9994,54.8,903.78,848.98,394.392,407.5104,54.8,15.0,16.0,1.0,15.6,0.4800000000000001,16.0,2.0,5.0,3.0,3.2,1.44,2.0,66.0,139.0,73.0,95.2,35.04,66.0,2.05,3.44,1.39,2.884,0.6672,3.44,2.0,2.0,0.0,2.0,0.0,2.0,3.0,4.0,1.0,3.6,0.48,4.0,0.0,10.0,10.0,4.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,9.0,9.6,4.32,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.4,0.48,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,2.4,0.48,2.0,9.105,31.56,22.455,18.087,10.7784,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,166.0,154.0,73.6,73.92,12.0,3.31
In0.99 As0.99 Cd0.01 Te0.01,33.0,52.0,19.0,41.09,8.0091,33.0,70.0,90.0,20.0,79.505,4.555000000000001,75.0,74.9216,127.6,52.6784,95.121157,19.99756143,74.9216,429.75,1090.0,660.25,758.8606499999999,327.8279565,429.75,12.0,16.0,4.0,14.0,1.01,13.0,4.0,5.0,1.0,4.505000000000001,0.49995,4.0,119.0,144.0,25.0,130.605,11.48895,119.0,1.69,2.18,0.4900000000000002,1.97915,0.20005,1.78,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.0,1.01,1.0,10.0,10.0,0.0,10.000000000000002,1.7763568394002505e-15,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,4.0,14.0,1.01,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.97,1.0196999999999998,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.97,1.0196999999999998,3.0,19.495,34.7633333333,15.268333333299996,23.256616666666503,1.1084166666665003,22.175,0.0,0.464,0.464,0.00232,0.0046168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,194.0,55.0,152.70499999999998,13.574999999999998,139.0,0.76
Ca1 Sn1 O3,8.0,50.0,42.0,18.8,12.960000000000004,8.0,7.0,87.0,80.0,69.6,25.040000000000003,87.0,15.9994,118.71,102.7106,41.35724,30.941104,15.9994,54.8,1115.0,1060.2,356.896,362.5152,54.8,2.0,16.0,14.0,12.8,4.319999999999999,16.0,2.0,5.0,3.0,3.0,1.2,2.0,66.0,176.0,110.0,102.6,43.92,66.0,1.0,3.44,2.44,2.656,0.9408,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.8,1.44,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,12.0,6.8,2.88,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.8,2.0,9.105,37.77,28.665000000000003,19.674,12.6828,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,80.4,82.08,12.0,4.4
Cs2 Zn1 Ge3 Te8,30.0,55.0,25.0,46.57142857142857,8.612244897959185,52.0,5.0,90.0,85.0,74.0,20.428571428571427,90.0,65.38,132.9054519,67.52545190000001,112.13649312857142,23.60656750204082,127.6,301.59,1211.4,909.8100000000002,765.0957142857143,191.27326530612248,722.66,1.0,16.0,15.0,13.142857142857142,3.6326530612244894,16.0,4.0,6.0,2.0,4.857142857142857,0.4897959183673471,5.0,120.0,244.0,124.0,148.14285714285714,27.387755102040813,138.0,0.79,2.1,1.31,1.861428571428572,0.3363265306122447,2.1,1.0,2.0,1.0,1.8571428571428568,0.2448979591836734,2.0,0.0,4.0,4.0,2.7142857142857144,1.469387755102041,4.0,0.0,10.0,10.0,8.571428571428571,2.4489795918367347,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,15.0,13.142857142857142,3.6326530612244894,16.0,0.0,1.0,1.0,0.1428571428571428,0.2448979591836734,0.0,0.0,4.0,4.0,2.0,0.8571428571428571,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.142857142857143,0.7959183673469388,2.0,13.96,115.765,101.805,42.32940476188571,20.981598639461225,34.7633333333,0.0,0.464,0.464,0.3472142857142857,0.1488061224489796,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,229.0,77.0,181.64285714285717,33.87755102040816,152.0,1.07
Cd1 As2,33.0,48.0,15.0,38.0,6.666666666666667,33.0,70.0,84.0,14.0,79.33333333333333,6.222222222222224,84.0,74.9216,112.411,37.4894,87.41806666666666,16.661955555555554,74.9216,594.22,1090.0,495.78,924.74,220.3466666666666,1090.0,12.0,15.0,3.0,14.0,1.3333333333333333,15.0,4.0,5.0,1.0,4.333333333333333,0.4444444444444443,4.0,119.0,144.0,25.0,127.33333333333331,11.111111111111107,119.0,1.69,2.18,0.4900000000000002,2.016666666666667,0.2177777777777777,2.18,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,3.0,14.0,1.3333333333333333,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,19.495,22.175,2.68,21.281666666666663,1.1911111111111117,22.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,194.0,28.0,175.33333333333334,12.444444444444448,166.0,1.13
Cd1 Ge1 P2,15.0,48.0,33.0,27.5,12.5,15.0,70.0,83.0,13.0,78.75,4.375,83.0,30.973762,112.411,81.43723800000001,61.749631,30.775869,30.973762,317.3,1211.4,894.1000000000001,610.0550000000001,300.6725,317.3,12.0,15.0,3.0,14.0,1.0,15.0,3.0,5.0,2.0,3.75,0.75,3.0,107.0,144.0,37.0,119.5,12.5,107.0,1.69,2.19,0.5,2.02,0.17,2.19,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,2.0,1.0,3.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,9.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.5,1.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.5,1.25,3.0,19.495,23.005,3.509999999999998,21.9101190476,1.2075595238000003,22.5702380952,0.0,1.625,1.625,0.90825,0.71675,1.625,0.0,0.0,0.0,0.0,0.0,0.0,2.0,225.0,223.0,105.75,103.75,2.0,1.65
Hf1 O2,8.0,72.0,64.0,29.33333333333333,28.444444444444446,8.0,45.0,87.0,42.0,73.0,18.666666666666668,87.0,15.9994,178.49,162.4906,70.16293333333333,72.21804444444444,15.9994,54.8,2506.0,2451.2,871.8666666666667,1089.4222222222222,54.8,4.0,16.0,12.0,12.0,5.333333333333333,16.0,2.0,6.0,4.0,3.333333333333333,1.777777777777778,2.0,66.0,175.0,109.0,102.33333333333331,48.44444444444444,66.0,1.3,3.44,2.14,2.7266666666666666,0.9511111111111112,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,2.0,2.0,0.6666666666666666,0.888888888888889,0.0,0.0,14.0,14.0,4.666666666666667,6.222222222222221,0.0,6.0,18.0,12.0,10.0,5.333333333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,8.0,8.0,2.6666666666666665,3.555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.0,2.6666666666666665,2.0,9.105,22.2,13.095,13.47,5.819999999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,72.66666666666667,80.8888888888889,12.0,5.55
Re1 Se2,34.0,75.0,41.0,47.66666666666666,18.22222222222222,34.0,54.0,89.0,35.0,77.33333333333333,15.555555555555555,89.0,78.96,186.207,107.247,114.709,47.66533333333333,78.96,494.0,3459.0,2965.0,1482.3333333333333,1317.7777777777776,494.0,7.0,16.0,9.0,13.0,4.0,16.0,4.0,6.0,2.0,4.666666666666667,0.888888888888889,4.0,120.0,151.0,31.0,130.33333333333334,13.77777777777778,120.0,1.9,2.55,0.6499999999999999,2.333333333333333,0.2888888888888887,2.55,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,5.0,10.0,5.0,8.333333333333334,2.222222222222222,10.0,0.0,14.0,14.0,4.666666666666667,6.222222222222221,0.0,16.0,21.0,5.0,17.666666666666668,2.2222222222222228,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,5.0,5.0,1.6666666666666667,2.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,1.3333333333333333,2.0,14.655,25.92,11.265000000000002,22.165000000000003,5.006666666666667,25.92,0.0,0.799,0.799,0.5326666666666667,0.3551111111111111,0.799,0.0,0.0,0.0,0.0,0.0,0.0,14.0,194.0,180.0,74.0,80.0,14.0,1.15
Li6 Ga2 Te8 O22,3.0,52.0,49.0,17.68421052631579,15.850415512465371,8.0,1.0,90.0,89.0,73.36842105263158,22.85318559556787,87.0,6.941,127.6,120.659,40.89154736842105,39.54371191135734,15.9994,54.8,722.66,667.86,271.4431578947368,250.84997229916897,54.8,1.0,16.0,15.0,13.473684210526317,3.988919667590028,16.0,2.0,5.0,3.0,2.736842105263158,1.0858725761772856,2.0,66.0,138.0,72.0,93.89473684210526,32.29916897506926,66.0,0.98,3.44,2.46,2.6836842105263155,0.8757340720221606,3.44,1.0,2.0,1.0,1.8421052631578947,0.2659279778393352,2.0,0.0,4.0,4.0,3.210526315789474,1.2465373961218835,4.0,0.0,10.0,10.0,2.631578947368421,3.878116343490305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,15.0,7.684210526315789,4.060941828254848,6.0,0.0,1.0,1.0,0.1578947368421052,0.2659279778393351,0.0,0.0,5.0,5.0,1.8421052631578947,0.5817174515235458,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.0,0.3157894736842105,2.0,9.105,34.7633333333,25.6583333333,16.202412280689476,8.218056325008865,9.105,0.0,0.464,0.464,0.0976842105263157,0.1542382271468144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,78.47368421052632,78.49307479224377,12.0,3.85
In1 Sb0.4 As0.6,33.0,51.0,18.0,44.6,6.959999999999999,49.0,75.0,85.0,10.0,79.7,4.7,75.0,74.9216,121.76,46.83840000000001,104.23748,17.589528,114.818,429.75,1090.0,660.25,722.631,292.881,429.75,13.0,15.0,2.0,14.0,1.0,13.0,4.0,5.0,1.0,4.7,0.4199999999999999,5.0,119.0,142.0,23.0,134.5,9.3,142.0,1.78,2.18,0.4000000000000001,1.954,0.174,1.78,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.0,2.0,14.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,5.0,22.175,31.56,9.384999999999998,25.0945,2.586199999999999,24.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,166.0,27.0,152.5,13.5,139.0,0.1
